问题,年份,公司,鑫鑫关键词,包关键词
2020年晋控电力现金比率是多少?保留2位小数。,2020,000767,现金比率,现金比率
惠泰医疗2021年年报数据中，每股收益和每股净资产分别是多少元?,2021,688617,数据|每股|收益|每股|净资产,每股收益|每股净资产|每股收益和每股净资产
请提供蓝思科技股份有限公司在2021年的负债合计，单位为元。,2021,300433,负债|合计,负债合计
2019年合肥城建发展股份有限公司毛利率为多少?保留2位小数。,2019,002208,毛利率,毛利率
保定乐凯新材料股份有限公司2021年营业利润是多少元?,2021,300446,营业利润,营业利润
太钢不锈2021年资产总计是多少元?,2021,000825,资产|总计,资产总计
请提供浙商中拓2021年的无形资产增长率，保留到小数点后两位。,2021,000906,无形|资产增长率,无形资产增长率
2019年睿创微纳硕士人数是什么?,2019,688002,硕士人数,硕士人数
江苏舜天股份有限公司2020年营业税金及附加是多少元?,2020,600287,营业税金|附加,营业税金及附加
深圳四方精创资讯股份有限公司在2019年的注册地址是什么?,2019,300468,注册地址,注册地址
厦门厦工机械股份有限公司在2021年的研发费用增长率是多少？请保留2位小数。,2021,600815,研发|费用增长率,研发费用增长率
智度股份2021年的应付职工薪酬金额是多少元？,2021,000676,应付职工薪酬金额,应付职工薪酬
健民药业集团股份有限公司2020年公允价值变动收益是多少元?,2020,600976,公允|价值|变动收益,公允价值变动收益
2021年上海复洁环保科技股份有限公司的资产总计是多少元?,2021,688335,资产|总计,资产总计
深南电路股份有限公司2019年管理费用率是多少?保留2位小数。,2019,002916,管理费用率,管理费用率
2020年上海雅仕的利润总额是多少元？,2020,603329,利润总额,利润总额
镇江东方电热科技股份有限公司2021年的货币资金增长率是多少？请保留两位小数。,2021,300217,货币资金增长率,货币资金增长率
深圳市汇川技术股份有限公司在2020年的研发费用增长率是多少? 请保留两位小数。,2020,300124,研发|费用增长率,研发费用增长率
浙江盛洋科技股份有限公司2021年资产总计是多少元?,2021,603703,资产|总计,资产总计
深圳市今天国际物流技术股份有限公司2019年企业研发经费占费用比例是多少?保留2位小数。,2019,300532,企业|研发|经费|占费用比例,企业研发经费|费用比例|企业研发经费占费用比例
2021年江苏银行的利息支出和利息收入分别是多少元?,2021,600919,利息支出|利息收入,利息收入|利息支出|利息支出和利息收入
中农联合在2020年的营业收入和营业外收入分别是多少元？,2020,003042,营业收入|营业外收入,营业收入和营业外收入|营业收入|营业外收入
奥泰生物2021年营业利润增长率是多少?保留2位小数。,2021,688606,营业利润增长率,营业利润增长率
2019年中公教育科技股份有限公司的营业成本率是多少？请保留两位小数。,2019,002607,营业成本率,营业成本率
2020年中化岩土集团股份有限公司现金比率为多少?保留2位小数。,2020,002542,现金比率,现金比率
北京万泰生物药业股份有限公司在2020年的营业成本和营业利润分别是多少元?,2020,603392,营业成本|营业利润,营业成本和营业利润|营业成本|营业利润
请根据江化微2019年的年报，简要介绍报告期内公司主要供应商情况如何,2019,603078,主要|供应商情况,公司主要供应商情况
财务报表分析中，如何计算净利润率？,,,,
请问，2021年赤峰吉隆黄金矿业股份有限公司的营业收入增长率为多少?保留2位小数。,2021,600988,请问|营业收入增长率,营业收入增长率
豫园股份在2019年的衍生金融资产和其他非流动金融资产分别是多少元？,2019,600655,衍生金融资产|流动金融资产,衍生金融资产和其他非流动金融资产|其他非流动金融资产|衍生金融资产
请问，华恒生物在2021年的营业利润增长率是多少，保留2位小数？,2021,688639,请问|营业利润增长率,营业利润增长率
2019年浙江世宝三费比重是多少?保留2位小数。,2019,002703,三费比重,三费比重
浙江正裕工业股份有限公司在2020年的资产负债比率是多少?请保留至小数点后两位。,2020,603089,资产|负债比率,资产负债比率
天津普林在2019年的营业外支出和营业外收入分别是多少元？,2019,002134,营业外|支出|营业外收入,营业外支出和营业外收入|营业外支出|营业外收入
2021年国光连锁的净利润增长率是多少?保留2位小数。,2021,605188,净利润增长率,净利润增长率
请查询，江苏金租在2020年度支出的利息总额是多少元?,2020,600901,,利息总额
2020年深南股份销售费用是多少元?,2020,002417,销售费用,销售费用
2021年浙江日发精密机械股份有限公司流动负债增长率为多少?保留2位小数。,2021,002520,流动|负债增长率,流动负债增长率
2020年博硕科技的所得税费用是多少元?,2020,300951,所得税费用,所得税费用
苏州银行在2019年的企业硕士及以上人员占职工人数比例是多少？请保留两位小数。,2019,002966,企业硕士|人员|占职工人数比例,职工人数比例|企业硕士及以上人员占职工人数比例|企业硕士及以上人员
天津长荣科技集团股份有限公司2020年的现金比率是多少？保留两位小数。,2020,300195,现金比率,现金比率
根据2020年的年报数据，山东鲁抗医药股份有限公司的2020年营业利润率是多少?保留2位小数。,2020|2020,600789,数据|营业利润率,营业利润率
安徽安利材料科技股份有限公司2019年硕士人数是什么?,2019,300218,硕士人数,硕士人数
2020年江南水务利润总额是多少元?,2020,601199,利润总额,利润总额
所得税费用的计算方法和影响因素有哪些？,,,,
北大荒在2019年的三费比重是多少？答案需要保留小数点后两位。,2019,600598,三费比重|答案|需要,三费比重
2019年中国重汽集团济南卡车股份有限公司的企业研发经费占费用比例是多少？保留两位小数。,2019,000951,企业|研发|经费|占费用比例,企业研发经费|费用比例|企业研发经费占费用比例
请根据安徽神剑新材料股份有限公司2021年的年报，给我简要介绍一下报告期内公司的环境信息情况,2021,002361,环境信息情况,年报
北京沃尔德金刚石工具股份有限公司2019年企业研发经费与营业收入比值是多少?保留2位小数。,2019,688028,企业|研发|经费|营业收入比值,企业研发经费|企业研发经费与营业收入比值|营业收入
冠城大通2019年固定资产和无形资产分别是多少元?,2019,600067,固定资产|无形|资产,固定资产|固定资产和无形资产|无形资产
2019年一拖股份的利息收入是多少元？,2019,601038,利息收入,利息收入
什么是财务指标？,,,,
什么是固定资产周转率？,,,,
无锡祥生医疗科技股份有限公司2019年企业研发经费占费用比例是多少?保留2位小数。,2019,688358,企业|研发|经费|占费用比例,企业研发经费|费用比例|企业研发经费占费用比例
2019年菲利华办公地址是什么?,2019,300395,办公地址,办公地址
2020年信雅达企业研发经费与营业收入比值是多少?保留2位小数。,2020,600571,企业|研发|经费|营业收入比值,企业研发经费|企业研发经费与营业收入比值|营业收入
钢研高纳2019年研发人员占职工人数比例是多少?保留2位小数。,2019,300034,研发|人员|占职工人数比例,研发人员|职工人数比例|研发人员占职工人数比例
法兰泰克2021年的其他非流动金融资产是多少元？,2021,603966,流动金融资产,其他非流动金融资产
深圳市瑞丰光电子股份有限公司在2021年收回的投资所得现金是多少元？,2021,300241,收回|投资|现金,收回投资
远东传动在2021年的货币资金是多少元?,2021,002406,货币资金,货币资金
弘宇股份2019年的公司网址是什么？,2019,002890,网址,公司网址
南京盛航海运股份有限公司2020年的研发费用是多少元？,2020,832659,,研发费用
无锡线上线下通讯信息技术股份有限公司在2020年的利润总额和净利润分别是多少元?,2020,300959,利润总额|净利润,净利润|利润总额|利润总额和净利润
2021年中葡股份货币资金是多少元?,2021,600084,货币资金,货币资金
侨银股份2020年净利润是多少元?,2020,002973,净利润,净利润
菲利华企业2019年的研发经费与利润比值是多少？请保留两位小数。,2019,300395,企业|研发|经费|利润|比值,研发经费与利润比值|研发经费|利润
2021年安徽广信农化股份有限公司应收款项融资是多少元?,2021,603599,应|收款项|融资,应收款项融资
南京公用发展股份有限公司2019年电子信箱是什么?,2019,000421,电子信箱,电子信箱
2021年宜宾纸业股份有限公司营业收入增长率为多少?保留2位小数。,2021,600793,营业收入增长率,营业收入增长率
2019年上海维宏电子科技股份有限公司硕士人数是什么?,2019,300508,硕士人数,硕士人数
怡亚通在2019年的企业研发经费与利润的比值是多少?请保留至小数点后两位。,2019,002183,企业|研发|经费|利润|比值,企业研发经费|利润|企业研发经费与利润的比值
凯迪股份2021年的应收款项融资是多少元？,2021,605288,应|收款项|融资,应收款项融资
江苏恒立液压股份有限公司2021年的营业收入增长率是多少？保留两位小数。,2021,601100,营业收入增长率,营业收入增长率
红旗连锁2019年财务费用率是多少?保留2位小数。,2019,002697,财务费用率,财务费用率
上海浦东发展银行股份有限公司2020年净利润率是多少?保留2位小数。,2020,600000,净利润率,净利润率
2021年东方电子衍生金融资产和其他非流动金融资产分别是多少元?,2021,000682,衍生金融资产|流动金融资产,衍生金融资产和其他非流动金融资产|其他非流动金融资产|衍生金融资产
请计算2020年宏润建设的流动负债比率，保留至小数点后两位。,2020,002062,计算|流动|负债比率,流动负债比率
在2021年，上海天玑科技股份有限公司的其他非流动金融资产是多少元？,2021,300245,流动金融资产,其他非流动金融资产
2021年新致软件收回投资收到的现金是多少元?,2021,688590,收回投资|收到|现金,收回投资
2020年深圳市奥拓电子股份有限公司财务费用增长率为多少?保留2位小数。,2020,002587,财务费用增长率,财务费用增长率
广日股份2021年流动负债增长率是多少?保留2位小数。,2021,600894,流动|负债增长率,流动负债增长率
2019年新澳股份的企业研发经费与利润的比值是多少？结果请保留2位小数。,2019,603889,企业|研发|经费|利润|比值,企业研发经费|利润|企业研发经费与利润的比值
杭电股份2020年非流动负债比率是多少?保留2位小数。,2020,603618,流动|负债比率,非流动负债比率
2019年，金钼股份技术人员数是什么?,2019,601958,技术人员数,技术人员数
2021年平治信息的无形资产是多少元？,2021,300571,无形|资产,无形资产
申通快递2021年现金及现金等价物增长率是多少?保留2位小数。,2021,002468,现金|现金等价物增长率,现金及现金等价物增长率
我能知道江苏江阴农村商业银行股份有限公司在2021年的利息支出和利息收入是多少元么?,2021,002807,知道|利息支出|利息收入,利息收入|利息支出|利息支出和利息收入
2019年金田股份的技术人员数量是多少？,2019,601609,技术人员数量,技术人员数量
2021年中衡设计收回投资收到的现金是多少元?,2021,603017,收回投资|收到|现金,收回投资
广州通达汽车电气股份有限公司在2020年的营业外收入是多少?,2020,603390,营业外|收入,营业外收入
新华百货2020年营业收入和营业外收入分别是多少元?,2020,600785,营业收入|营业外收入,营业收入和营业外收入|营业收入|营业外收入
深圳市正弦电气股份有限公司2020年的营业外收入是多少元？,2020,688395,营业外|收入,营业外收入
2020年山东高速现金比率是多少?保留2位小数。,2020,600350,现金比率,现金比率
2021年安徽铜峰电子股份有限公司的每股净资产值为多少元?,2021,600237,每股|净资产值,每股净资产
根据同花顺2019年的年度报告，请简要分析公司营业收入构成的整体情况。,2019,300033,年度报告|营业收入|构成|整体情况,营业收入构成的整体情况
2020年苏州赛伍应用技术股份有限公司营业成本和营业利润分别是多少元?,2020,603212,营业成本|营业利润,营业成本和营业利润|营业成本|营业利润
中国医药健康产业股份有限公司在2020年的资产负债比率是多少？请保留两位小数。,2020,600056,资产|负债比率,资产负债比率
请提供博力威2021年的营业利润增长率，保留到小数点后两位。,2021,688345,营业利润增长率,营业利润增长率
鸿合科技2021年衍生金融资产和其他非流动金融资产分别是多少元?,2021,002955,衍生金融资产|流动金融资产,衍生金融资产和其他非流动金融资产|其他非流动金融资产|衍生金融资产
2019年浙江跃岭股份有限公司办公地址是什么?,2019,002725,办公地址,办公地址
在2020年，广东锦龙发展股份有限公司的利息支出是多少元？,2020,000712,利息支出,利息支出
广东鸿图2021年总负债增长率是多少?保留2位小数。,2021,002101,总负债增长率,总负债增长率
请根据北大荒2020年的年报，简要介绍报告期内公司的社会责任工作情况。,2020,600598,社会责任|工作情况,社会责任工作情况
2019年国机重装企业研发经费占费用比例是多少?保留2位小数。,2019,601268,企业|研发|经费|占费用比例,企业研发经费|费用比例|企业研发经费占费用比例
宏发科技股份有限公司在2021年的投资收益增长率是多少？保留两位小数。,2021,600885,投资收益增长率,投资收益增长率
2021年科华数据股份有限公司现金及现金等价物增长率为多少?保留2位小数。,2021,002335,现金|现金等价物增长率,现金及现金等价物增长率
2021年晨曦航空每股经营现金流量是多少元?,2021,300581,每股|经营现金流量,每股经营现金流量
永和智控在2019年的法定代表人是谁?,2019,002795,法定|代表人,法定代表人
2019年青岛汇金通电力设备股份有限公司管理费用率为多少?保留2位小数。,2019,603577,管理费用率,管理费用率
2020年艾隆科技营业成本和营业利润分别是多少元?,2020,688329,营业成本|营业利润,营业成本和营业利润|营业成本|营业利润
请问，2021年江苏张家港农村商业银行股份有限公司的利息支出和利息收入分别为多少元?,2021,002839,请问|利息支出|利息收入,利息收入|利息支出|利息支出和利息收入
顺丰控股在2020年的营业收入和营业外收入分别是多少元？,2020,002352,营业收入|营业外收入,营业收入和营业外收入|营业收入|营业外收入
根据2019年的年报，瑞联新材的营业成本率是多少?保留2位小数。,2019,688550,营业成本率,营业成本率
2020年博深股份有限公司综合收益总额是多少元?,2020,002282,综合收益总额,综合收益总额
2021年科林环保装备股份有限公司投资收益增长率为多少?保留2位小数。,2021,002499,投资收益增长率,投资收益增长率
2021年国盛金融控股集团股份有限公司利息支出是多少元?,2021,002670,利息支出,利息支出
2021年天目湖收回投资收到的现金是多少元?,2021,603136,收回投资|收到|现金,收回投资
茂硕电源科技股份有限公司在2020年的营业外支出是多少元?,2020,002660,营业外|支出,营业外支出
广东中南钢铁股份有限公司2019年研发人员数是什么?,2019,000717,研发|人员数,研发人员数
2021年温氏股份利息支出和利息收入分别是多少元?,2021,300498,利息支出|利息收入,利息收入|利息支出|利息支出和利息收入
2019年南京化纤的办公地址是什么？,2019,600889,办公地址,办公地址
什么是自由现金流量？,,,,
什么是销售费用？,,,,
锋尚文化集团股份有限公司2020年的营业成本和营业利润分别是多少元？,2020,300860,营业成本|营业利润,营业成本和营业利润|营业成本|营业利润
邮储银行2020年利息支出和利息收入分别是多少元?,2020,601658,利息支出|利息收入,利息收入|利息支出|利息支出和利息收入
请问，2019年大连百傲化学股份有限公司的研发费用和财务费用分别是多少元?,2019,603360,请问|研发|费用|财务费用,财务费用|研发费用和财务费用|研发费用
使用权资产的定义是什么？,,,,
根据2019年安科瑞的年报，请简要介绍报告期内公司主要销售客户客户集中度如何？请结合同行业情况简要分析。,2019,300286,主要|销售客户客户集中度|结合|同行业|情况,主要销售客户集中度
2021年光一科技无形资产增长率是多少?保留2位小数。,2021,300356,无形|资产增长率,无形资产增长率
振华重工在2019年的企业研发经费占总费用的比例是多少？请保留两位小数。,2019,600320,企业|研发|经费|占|总|费用|比例,企业研发经费|企业研发经费占总费用的比例|总费用的比例
新媒股份2020年的企业硕士及以上人员占职工人数的比例是多少？保留两位小数。,2020,300770,企业硕士|人员|占职工人数|比例,企业硕士及以上人员占职工人数的比例|职工人数的比例|企业硕士及以上人员
请简要分析哈尔滨东安汽车动力股份有限公司2019年公司员工情况,2019,600178,员工情况,公司员工情况
2019年深圳市卫光生物制品股份有限公司营业成本率为多少?保留2位小数。,2019,002880,营业成本率,营业成本率
请提供力合科技(湖南)股份有限公司2019年的研发经费与利润比值，保留两位小数。,2019,300800,研发|经费|利润比值,研发经费与利润比值|研发经费|利润
请提供上海汽车集团股份有限公司在2019年的利息收入，单位为元。,2019,600104,利息收入,利息收入
祥生医疗在2019年的研发人员数是多少?,2019,688358,研发|人员数,研发人员数
2020年江苏恒顺醋业股份有限公司流动比率为多少?保留2位小数。,2020,600305,流动比率,流动比率
2019年重庆港股份有限公司财务费用是多少元?,2019,600279,财务费用,财务费用
可立克2019年的投资收益占营业收入的比率是多少？保留2位小数。,2019,002782,投资收益|占|营业收入|比率,投资收益占营业收入的比率
2019年飞亚达管理费用率是多少?保留2位小数。,2019,000026,管理费用率,管理费用率
2019年新亚强职工总数是什么?,2019,603155,职工总数,职工总数
请问，2019年张江高科企业硕士及以上人员占职工人数的比例是多少?保留2位小数。,2019,600895,请问|企业硕士|人员|占职工人数|比例,企业硕士及以上人员占职工人数的比例|职工人数的比例|企业硕士及以上人员
方直科技2019年办公地址是什么?,2019,300235,办公地址,办公地址
陕西煤业在2019年的企业名称是什么？,2019,601225,企业名称,企业名称
建发合诚2020年营业外收入是多少元?,2020,603909,营业外收入,营业外收入
请提供2021年洲明科技的应收款项融资，以元为单位。,2021,300232,应|收款项|融资,应收款项融资
2020年天水华天科技股份有限公司研发费用增长率为多少?保留2位小数。,2020,002185,研发|费用增长率,研发费用增长率
2021年立方数科股份有限公司的负债合计是多少元？,2021,300344,负债|合计,负债合计
长春欧亚集团股份有限公司在2020年的销售费用是多少元？,2020,600697,销售费用,销售费用
江苏常熟汽饰集团股份有限公司2021年的研发费用增长率是多少?保留2位小数。,2021,603035,研发|费用增长率,研发费用增长率
空港股份2019年毛利率是多少?保留2位小数。,2019,600463,毛利率,毛利率
请问科华生物在2021年的固定资产增长率是多少？请保留至小数点后两位。,2021,002022,请问|固定资产|增长率,固定资产增长率
2019年大龙地产毛利率是多少?保留2位小数。,2019,600159,毛利率,毛利率
2021年天禄科技每股经营现金流量是多少元?,2021,,,每股经营现金流量
2020年浙江新光药业股份有限公司流动比率为多少?保留2位小数。,2020,300519,流动比率,流动比率
贵州三力2019年毛利率是多少?保留2位小数。,2019,603439,毛利率,毛利率
2021年凯撒(中国)文化股份有限公司固定资产增长率为多少?保留2位小数。,2021,002425,固定资产|增长率,固定资产增长率
四川东材科技集团股份有限公司2021年货币资金增长率是多少?保留2位小数。,2021,601208,货币资金增长率,货币资金增长率
广州毅昌科技股份有限公司在2020年的营业成本和营业利润分别是多少元？,2020,002420,营业成本|营业利润,营业成本和营业利润|营业成本|营业利润
江阴市恒润重工股份有限公司2020年净利润率是多少?保留2位小数。,2020,603985,净利润率,净利润率
根据2021年年报数据，安徽黄山胶囊股份有限公司的每股收益和每股净资产分别是多少元?,2021,002817,数据|每股|收益|每股|净资产,每股收益|每股净资产|每股收益和每股净资产
三丰智能装备集团股份有限公司2021年归属母公司所有者净利润是多少元?,2021,300276,归属母公司所有者净利润,归属母公司所有者净利润
2020年超讯通信股份有限公司的营业利润率为多少?保留2位小数。,2020,603322,营业利润率,营业利润率
2019年锦州港的公司网址是什么？,2019,600190,网址,公司网址
莱宝高科2019年研发人员占职工人数比例是多少?保留2位小数。,2019,002106,研发|人员|占职工人数比例,研发人员|职工人数比例|研发人员占职工人数比例
浙江大东南股份有限公司在2019年的电子信箱是什么？,2019,002263,电子信箱,电子信箱
无形资产的计量和摊销方法对公司的资产质量和盈利能力有何影响？,,,,
2021年深圳翰宇药业股份有限公司其他非流动金融资产是多少元?,2021,300199,流动金融资产,其他非流动金融资产
浙江三星新材股份有限公司2019年法定代表人是什么?,2019,603578,法定|代表人,法定代表人
2020年深圳市雄韬电源科技股份有限公司的综合收益总额是多少元?,2020,002733,综合收益总额,综合收益总额
请简要分析金河生物科技股份有限公司2019年研发投入情况,2019,002688,研发|投入情况,研发投入情况
请简要分析浙江一鸣食品股份有限公司2020年行业情况。,2020,605179,行业情况,行业情况
四川九洲电器股份有限公司在2021年实现的营业利润为多少元？,2021,000801,实现|营业利润,营业利润
2021年星光农机股份有限公司流动负债增长率为多少?保留2位小数。,2021,603789,流动|负债增长率,流动负债增长率
山东双一科技股份有限公司2020年年报中所得税费用是多少元?,2020,300690,所得税费用,所得税费用
2020年恒帅股份的投资收益是多少元？,2020,300969,投资收益,投资收益
2020年百花医药资产负债比率是多少?保留2位小数。,2020,600721,资产|负债比率,资产负债比率
优德精密工业(昆山)股份有限公司在2021年的资产总额是多少元？,2021,300549,资产总额,资产总额
亿纬锂能在2020年的销售费用是多少元?,2020,300014,销售费用,销售费用
新疆火炬燃气股份有限公司2020年的财务费用增长率是多少?请保留至小数点后两位。,2020,603080,财务费用增长率,财务费用增长率
恒大高新2021年营业成本是多少元?,2021,002591,营业成本,营业成本
三联虹普在2021年的总负债增长率是多少？请保留至小数点后2位。,2021,300384,总负债增长率,总负债增长率
常州祥明智能动力股份有限公司在2021年的每股收益和每股净资产各为多少元?,2021,301226,每股|收益|每股|净资产,每股收益|每股净资产|每股收益和每股净资产
百克生物2021年每股收益和每股净资产分别是多少元?,2021,,,每股收益|每股净资产|每股收益和每股净资产
请问，正海生物在2019年的公司网址是什么?,2019,300653,请问|网址,公司网址
元祖股份在2019年的电子信箱是什么？,2019,603886,电子信箱,电子信箱
大唐电信在2021年的每股经营现金流量是多少元？,2021,600198,每股|经营现金流量,每股经营现金流量
2021年纽威数控资产总计是多少元?,2021,688697,资产|总计,资产总计
2019年晋西车轴股份有限公司年报中管理费用率为多少?保留2位小数。,2019,600495,管理费用率,管理费用率
公允价值变动收益如何反映公司资产价值的变化和风险敞口？,,,,
2021年西藏奇正藏药股份有限公司流动负债增长率为多少?保留2位小数。,2021,002287,流动|负债增长率,流动负债增长率
2019年华菱钢铁投资收益占营业收入比率是多少?保留2位小数。,2019,000932,投资收益|占|营业收入比率,营业收入比率|投资收益占营业收入比率|投资收益
2020年广州发展集团股份有限公司企业硕士及以上人员占职工人数的比例是多少？请保留两位小数。,2020,600098,企业硕士|人员|占职工人数|比例,企业硕士及以上人员占职工人数的比例|职工人数的比例|企业硕士及以上人员
浙江京新药业股份有限公司2019年企业研发经费占费用比例是多少?保留2位小数。,2019,002020,企业|研发|经费|占费用比例,企业研发经费|费用比例|企业研发经费占费用比例
宋都股份2021年总负债增长率是多少?保留2位小数。,2021,600077,总负债增长率,总负债增长率
招商局蛇口工业区控股股份有限公司2020年的速动比率是多少？请保留两位小数。,2020,001979,速动比率,速动比率
请提供2020年福建永福电力设计股份有限公司的管理费用增长率，保留两位小数。,2020,300712,管理费用增长率,管理费用增长率
安徽辉隆农资集团股份有限公司2020年的综合收益总额是多少元？,2020,002556,综合收益总额,综合收益总额
湖南凯美特气体股份有限公司在2021年的流动负债增长率是多少？保留两位小数。,2021,002549,流动|负债增长率,流动负债增长率
2021年广东电声市场营销股份有限公司的负债合计是多少元?,2021,300805,负债|合计,负债合计
请提供2019年电科院的法定代表人姓名。,2019,300215,法定|代表人姓名,法定代表人姓名
2021年深圳文科园林股份有限公司的现金及现金等价物增长率是多少？保留两位小数。,2021,002775,现金|现金等价物增长率,现金及现金等价物增长率
哈工智能2021年的营业成本是多少元？,2021,000584,营业成本,营业成本
信达地产股份有限公司2019年企业硕士及以上人员占职工人数比例是多少?保留2位小数。,2019,600657,企业硕士|人员|占职工人数比例,职工人数比例|企业硕士及以上人员占职工人数比例|企业硕士及以上人员
2021年深圳市铭利达精密技术股份有限公司每股收益和每股净资产分别是多少元?,2021,301268,每股|收益|每股|净资产,每股收益|每股净资产|每股收益和每股净资产
2019年中颖电子三费比重是多少?保留2位小数。,2019,300327,三费比重,三费比重
上海韦尔半导体股份有限公司在2019年的企业研发经费与营业收入的比值为多少？请保留到小数点后两位。,2019,603501,企业|研发|经费|营业收入|比值,企业研发经费|企业研发经费与营业收入的比值|营业收入
什么是非流动负债？,,,,
请告诉我汉威科技集团股份有限公司在2020年的利润总额和净利润分别是多少元？,2020,300007,告诉|利润总额|净利润,净利润|利润总额|利润总额和净利润
幸福蓝海在2019年的毛利率是多少？请保留2位小数。,2019,300528,毛利率,毛利率
2019年中国人寿的职工总数是多少?,2019,601628,职工总数,职工总数
苏州瑞玛精密工业股份有限公司2019-2021年的法定代表人是否都相同？,2019|2021,002976,法定|代表人|是否|相同,法定代表人
2021年金明精机销售费用和管理费用分别是多少元?,2021,300281,销售费用|管理费用,管理费用|销售费用|销售费用和管理费用
中体产业集团股份有限公司2020年管理费用增长率是多少?保留2位小数。,2020,600158,管理费用增长率,集团股份有限公司管理费用增长率
可靠股份2021年负债合计是多少元?,2021,301009,负债|合计,负债合计
什么是记账本位币？,,,,
江苏海力风电设备科技股份有限公司2020年管理费用是多少元?,2020,301155,管理费用,管理费用
能否告诉我华仁药业股份有限公司在2020年销售费用和管理费用的具体数额是多少元？,2020,300110,告诉|销售费用|管理费用|具体|数额,股份有限公司销售费用和管理费用的具体数额|管理费用的具体数额|股份有限公司销售费用
凯乐科技2021年的净利润增长率是多少？保留2位小数。,2021,600260,净利润增长率,净利润增长率
美康生物在2021年的流动负债增长率约为多少？请保留至小数点后两位。,2021,300439,流动|负债增长率|约,流动负债增长率
2021年沈阳远大智能工业集团股份有限公司营业成本是多少元?,2021,002689,营业成本,营业成本
什么是资本成本？如何计算？,,,,
2021年深圳市科思科技股份有限公司的营业利润增长率是多少？请保留两位小数。,2021,688788,营业利润增长率,营业利润增长率
请简要分析湖北菲利华石英玻璃股份有限公司2020年公司股权激励计划、员工持股计划或其他员工激励措施的实施情况,2020,300395,股权|激励计划|员工|持股计划|员工|激励措施|实施情况,股权激励计划、员工持股计划或其他员工激励措施的实施情况|员工持股计划或其他员工激励措施的实施情况|股权激励计划
什么是外币业务和外币报表折算？,,,,
福龙马集团股份有限公司在2019年的财务费用是多少元？,2019,603686,财务费用,财务费用
中海达2021年负债合计是多少元?,2021,300177,负债|合计,负债合计
2020年广东联泰环保股份有限公司现金比率为多少?保留2位小数。,2020,603797,现金比率,现金比率
阳普医疗2019年企业名称是什么?,2019,300030,企业名称,企业名称
地素时尚股份有限公司在2019年的办公地址是什么？,2019,603587,办公地址,办公地址
新开普2019年硕士人数是什么?,2019,300248,硕士人数,硕士人数
2021年罗普特科技集团股份有限公司营业利润增长率为多少?保留2位小数。,2021,688619,营业利润增长率,营业利润增长率
元成环境股份有限公司在2020年的营业税金及附加费用是多少元?,2020,603388,营业税金|附加费用,营业税金及附加费用
2021年苏州科德教育科技股份有限公司应收款项融资是多少元?,2021,300192,应|收款项|融资,应收款项融资
金徽酒股份有限公司2019年研发人员数是什么?,2019,603919,研发|人员数,研发人员数
北京同有飞骥科技股份有限公司2020年的净利润是多少元？,2020,300302,净利润,净利润
2021年昆山科森科技股份有限公司总负债增长率为多少?保留2位小数。,2021,603626,总|负债增长率,总负债增长率
2020年悦康药业集团股份有限公司营业税金及附加是多少元?,2020,688658,营业税金|附加,营业税金及附加
为什么资产减值损失会导致财务报表中的利润下降？,,,,
能否简要分析一下，根据2019年云南铝业股份有限公司的年报，报告期内公司重大股权投资的情况？,2019,000807,重大|股权|投资|情况,重大股权投资的情况
请提供2020年山东得利斯食品股份有限公司的综合收益总额，单位为元。,2020,002330,综合收益总额,综合收益总额
2019年安科瑞电气股份有限公司的研发费用和财务费用分别是多少元？,2019,300286,研发|费用|财务费用,财务费用|电气股份有限公司的研发费用和财务费用|电气股份有限公司的研发费用
请问2019年重庆路桥股份有限公司的英文名称是什么？,2019,600106,请问|英文名称,英文名称
请简要分析山东联创产业发展集团股份有限公司2019年公司员工情况,2019,300343,员工情况,公司员工情况
河南翔宇医疗设备股份有限公司2021年的营业利润增长率是多少？请保留两位小数。,2021,688626,营业利润增长率,营业利润增长率
2021年保利发展的衍生金融资产和其他非流动金融资产分别是多少元？,2021,600048,衍生金融资产|流动金融资产,衍生金融资产和其他非流动金融资产|其他非流动金融资产|衍生金融资产
海格通信2019年职工总数是什么?,2019,002465,职工总数,职工总数
2020年浙江华达新型材料股份有限公司的销售费用是多少元？,2020,605158,销售费用,销售费用
请提供2021年福达合金材料股份有限公司每股净资产的金额。,2021,603045,每股|净资产|金额,每股净资产
江苏安靠智能输电工程科技股份有限公司在2019年至2021年期间，法定代表人是否都相同？,2019|2021,300617,期间|法定|代表人|是否|相同,法定代表人
根据2019年年报数据，海峡股份的企业名称是什么?,2019,002320,数据|企业名称,企业名称
陕西煤业2019年营业成本率是多少?保留2位小数。,2019,601225,营业成本率,营业成本率
深圳市海普瑞药业集团股份有限公司2021年固定资产增长率是多少?保留2位小数。,2021,002399,固定资产|增长率,固定资产增长率
航天机电2021年投资收益增长率是多少?保留2位小数。,2021,600151,投资收益增长率,投资收益增长率
深圳市沃特新材料股份有限公司2019年硕士人数是什么?,2019,002886,硕士人数,硕士人数
陕西黑猫2019年管理费用率是多少？请保留两位小数。,2019,601015,管理费用率,管理费用率
大唐国际发电股份有限公司2019年法定代表人是什么?,2019,601991,法定|代表人,法定代表人
无形资产的计量和摊销对公司的价值创造和盈利能力有何影响？,,,,
2021年北汽蓝谷新能源科技股份有限公司每股净资产是多少元?,2021,600733,每股|净资产,每股净资产
我武生物2019年财务费用率是多少?保留2位小数。,2019,300357,财务费用率,财务费用率
根据2020年的年报数据，常宝股份所得税费用是多少元?,2020,002478,,所得税费用
